species,label,sst_z,chl_log_z,front_z,lat,lon,block
狗母魚,1,-0.2271333822965481,0.5789097674083377,1.1419267650693565,24.28,120.44,40_200
狗母魚,1,-0.5439156433274664,-0.44208585836910896,-0.034460821356501005,25.4,121.6,42_202
狗母魚,1,0.03170090415554299,0.007667671820985917,0.5778705141265047,25.4,121.68,42_202
狗母魚,1,-0.6559483941798647,0.1489579944004836,2.674025500738454,25.16,121.8,41_203
狗母魚,1,-1.026815431484354,0.5635216107172132,-0.6976080353028266,24.44,120.16,40_200
狗母魚,1,-0.6018636179062932,-0.21919908400611987,-0.8703820220781144,24.44,120.48,40_200
狗母魚,1,-0.39325090942251734,-0.13560757434411586,-0.11576622689781275,24.44,120.52,40_200
狗母魚,1,-0.19622779585450792,1.0759936801565326,-0.5222932546043726,24.0,120.24,40_200
狗母魚,1,-1.0615842162316507,0.6568994145249741,-0.7839950286904704,24.6,120.04,41_200
狗母魚,1,-0.7718443433375181,0.5941356893486551,-0.6874448596101626,24.08,120.0,40_200
狗母魚,1,-0.7061699721481813,0.7573924125122795,-1.2489603166298484,24.08,120.04,40_200
狗母魚,1,-1.022952233179099,-0.04961729213099887,-1.0812679177008924,24.84,120.4,41_200
狗母魚,1,-1.057721017926395,0.17539186232179496,-1.1879812624738644,24.84,120.44,41_200
狗母魚,1,-1.0809002077579257,0.06019019089247983,-0.4638549943715546,24.84,120.48,41_200
狗母魚,1,-0.8529715077478749,0.7397798759222654,-1.1701957050117022,24.16,119.8,40_199
狗母魚,1,-0.9534146636845073,0.08194653651172384,-0.9745545729279205,24.76,120.36,41_200
狗母魚,1,-0.24258617551756953,0.7038970337871,-0.9008715491561065,24.08,120.28,40_200
狗母魚,1,-0.3121237450121612,0.27320530719318875,2.5546081863496517,24.52,120.64,40_201
狗母魚,1,-0.6675379890956298,-0.017965875397028753,-0.5553235756055306,24.52,120.6,40_200
狗母魚,1,-0.7409387568954773,-0.18977180110778002,-0.9669321911584225,24.6,120.48,41_200
狗母魚,1,0.4180207346810531,0.4161034419108583,-0.7916174104599685,24.92,121.92,41_203
狗母魚,1,-0.7216227653692014,-0.283183417290546,-1.2032260260128602,24.6,120.56,41_200
狗母魚,1,0.48755830417564483,0.2642766227954169,-0.5756499269908586,24.92,121.96,41_203
狗母魚,1,-0.5941372212957831,0.6003588265302187,-1.2591234923225123,24.76,120.68,41_201
狗母魚,1,-0.6714011874008848,0.7170487249129189,1.3502718667689686,24.84,120.88,41_201
狗母魚,1,-0.8877402924951707,-0.03164220961966742,-1.1473285597032084,24.6,120.36,41_200
狗母魚,1,0.14373365500794058,-0.4512438478469101,-1.1600325293190383,24.84,122.0,41_203
